Wavelength	PL390-MAO-Cr-Mau7
nm	Counts
449.342	1021
449.472	1017
449.602	1022
449.732	1020
449.862	1019
449.992	1017
450.122	1028
450.252	1021
450.382	1016
450.512	1012
450.642	1024
450.772	1014
450.902	1020
451.032	1023
451.162	1017
451.292	1018
451.422	1029
451.552	1016
451.682	1021
451.812	1020
451.942	1018
452.071	1026
452.201	1021
452.331	1019
452.461	1026
452.591	1022
452.721	1016
452.851	1018
452.981	1018
453.111	1022
453.241	1025
453.371	1019
453.501	1026
453.63	1017
453.76	1021
453.89	1021
454.02	1018
454.15	1023
454.28	1017
454.41	1011
454.539	1015
454.669	1015
454.799	1019
454.929	1018
455.059	1013
455.189	1018
455.318	1022
455.448	1022
455.578	1014
455.708	1019
455.838	1018
455.968	1017
456.097	1017
456.227	1019
456.357	1020
456.487	1021
456.617	1020
456.746	1022
456.876	1030
457.006	1025
457.136	1022
457.265	1014
457.395	1021
457.525	1017
457.655	1019
457.784	1024
457.914	1025
458.044	1027
458.174	1021
458.303	1024
458.433	1019
458.563	1017
458.692	1019
458.822	1024
458.952	1017
459.081	1017
459.211	1017
459.341	1020
459.47	1019
459.6	1018
459.73	1020
459.86	1027
459.989	1022
460.119	1023
460.248	1022
460.378	1021
460.508	1017
460.637	1025
460.767	1016
460.897	1024
461.026	1016
461.156	1024
461.286	1020
461.415	1023
461.545	1022
461.674	1015
461.804	1020
461.933	1023
462.063	1021
462.193	1012
462.322	1024
462.452	1026
462.581	1019
462.711	1014
462.84	1018
462.97	1021
463.1	1014
463.229	1018
463.359	1016
463.488	1024
463.618	1021
463.747	1028
463.877	1019
464.006	1020
464.136	1015
464.265	1025
464.395	1018
464.524	1021
464.654	1020
464.783	1016
464.913	1019
465.042	1017
465.172	1018
465.301	1017
465.431	1022
465.56	1024
465.69	1020
465.819	1035
465.948	1021
466.078	1023
466.207	1024
466.337	1028
466.466	1021
466.596	1023
466.725	1016
466.854	1022
466.984	1025
467.113	1015
467.243	1024
467.372	1024
467.501	1023
467.631	1024
467.76	1015
467.889	1015
468.019	1019
468.148	1019
468.278	1016
468.407	1024
468.536	1029
468.666	1021
468.795	1026
468.924	1021
469.054	1021
469.183	1020
469.312	1021
469.442	1026
469.571	1031
469.7	1026
469.829	1016
469.959	1026
470.088	1028
470.217	1024
470.347	1028
470.476	1019
470.605	1021
470.734	1025
470.864	1018
470.993	1024
471.122	1021
471.251	1022
471.381	1021
471.51	1023
471.639	1021
471.768	1025
471.898	1020
472.027	1023
472.156	1022
472.285	1021
472.414	1018
472.544	1022
472.673	1026
472.802	1025
472.931	1018
473.06	1015
473.189	1025
473.319	1025
473.448	1018
473.577	1022
473.706	1028
473.835	1022
473.964	1025
474.094	1022
474.223	1022
474.352	1019
474.481	1028
474.61	1020
474.739	1025
474.868	1032
474.997	1024
475.126	1024
475.256	1018
475.385	1022
475.514	1020
475.643	1024
475.772	1016
475.901	1026
476.03	1022
476.159	1029
476.288	1027
476.417	1024
476.546	1028
476.675	1026
476.804	1023
476.933	1023
477.062	1021
477.191	1020
477.32	1024
477.449	1019
477.578	1024
477.707	1023
477.836	1022
477.965	1026
478.094	1030
478.223	1030
478.352	1024
478.481	1030
478.61	1025
478.739	1023
478.868	1028
478.997	1026
479.126	1030
479.255	1032
479.384	1035
479.513	1026
479.642	1028
479.771	1024
479.9	1031
480.028	1018
480.157	1026
480.286	1019
480.415	1030
480.544	1027
480.673	1021
480.802	1021
480.931	1024
481.06	1030
481.188	1021
481.317	1020
481.446	1026
481.575	1026
481.704	1025
481.833	1032
481.961	1030
482.09	1028
482.219	1022
482.348	1031
482.477	1025
482.606	1022
482.734	1025
482.863	1020
482.992	1034
483.121	1024
483.249	1027
483.378	1035
483.507	1029
483.636	1032
483.765	1023
483.893	1029
484.022	1019
484.151	1027
484.28	1032
484.408	1029
484.537	1032
484.666	1025
484.794	1018
484.923	1028
485.052	1025
485.181	1024
485.309	1021
485.438	1022
485.567	1028
485.695	1026
485.824	1030
485.953	1025
486.081	1028
486.21	1029
486.339	1031
486.467	1029
486.596	1029
486.725	1024
486.853	1027
486.982	1031
487.11	1030
487.239	1029
487.368	1041
487.496	1035
487.625	1030
487.754	1028
487.882	1028
488.011	1032
488.139	1029
488.268	1026
488.396	1027
488.525	1036
488.654	1033
488.782	1029
488.911	1029
489.039	1029
489.168	1036
489.296	1021
489.425	1029
489.553	1030
489.682	1022
489.81	1032
489.939	1031
490.067	1027
490.196	1023
490.324	1037
490.453	1025
490.581	1025
490.71	1032
490.838	1029
490.967	1025
491.095	1025
491.224	1026
491.352	1033
491.481	1034
491.609	1034
491.738	1027
491.866	1033
491.994	1028
492.123	1038
492.251	1023
492.38	1031
492.508	1027
492.636	1035
492.765	1029
492.893	1022
493.022	1032
493.15	1026
493.278	1026
493.407	1024
493.535	1022
493.663	1028
493.792	1029
493.92	1029
494.049	1025
494.177	1023
494.305	1030
494.434	1033
494.562	1035
494.69	1032
494.818	1030
494.947	1030
495.075	1026
495.203	1029
495.332	1027
495.46	1025
495.588	1048
495.716	1019
495.845	1033
495.973	1036
496.101	1028
496.23	1028
496.358	1038
496.486	1029
496.614	1031
496.742	1031
496.871	1028
496.999	1038
497.127	1029
497.255	1040
497.384	1029
497.512	1034
497.64	1032
497.768	1029
497.896	1028
498.024	1032
498.153	1025
498.281	1030
498.409	1033
498.537	1034
498.665	1025
498.793	1037
498.922	1030
499.05	1035
499.178	1027
499.306	1024
499.434	1040
499.562	1027
499.69	1035
499.818	1032
499.947	1028
500.075	1032
500.203	1034
500.331	1024
500.459	1023
500.587	1033
500.715	1032
500.843	1024
500.971	1041
501.099	1032
501.227	1028
501.355	1033
501.483	1032
501.611	1032
501.739	1029
501.867	1026
501.995	1039
502.123	1033
502.251	1041
502.379	1028
502.507	1028
502.635	1023
502.763	1036
502.891	1035
503.019	1035
503.147	1030
503.275	1036
503.403	1029
503.531	1033
503.659	1031
503.787	1034
503.915	1030
504.043	1036
504.171	1039
504.299	1034
504.426	1035
504.554	1029
504.682	1032
504.81	1040
504.938	1029
505.066	1030
505.194	1032
505.322	1029
505.449	1036
505.577	1029
505.705	1039
505.833	1031
505.961	1029
506.089	1029
506.217	1032
506.344	1030
506.472	1024
506.6	1030
506.728	1039
506.856	1034
506.983	1031
507.111	1033
507.239	1035
507.367	1028
507.495	1028
507.622	1037
507.75	1033
507.878	1036
508.006	1041
508.133	1028
508.261	1026
508.389	1040
508.516	1029
508.644	1037
508.772	1033
508.9	1030
509.027	1017
