Wavelength	PL390-MAO-Cr-Mau8
nm	Counts
507.622	1016
507.75	1019
507.878	1023
508.006	1024
508.133	1025
508.261	1023
508.389	1020
508.516	1020
508.644	1012
508.772	1014
508.9	1026
509.027	1022
509.155	1022
509.283	1024
509.41	1017
509.538	1022
509.666	1023
509.793	1020
509.921	1023
510.049	1025
510.176	1020
510.304	1020
510.432	1026
510.559	1022
510.687	1018
510.815	1020
510.942	1018
511.07	1020
511.197	1024
511.325	1021
511.453	1023
511.58	1019
511.708	1028
511.835	1022
511.963	1019
512.091	1021
512.218	1021
512.346	1015
512.473	1019
512.601	1020
512.728	1025
512.856	1022
512.983	1018
513.111	1023
513.238	1026
513.366	1022
513.494	1025
513.621	1015
513.749	1024
513.876	1022
514.003	1017
514.131	1020
514.258	1023
514.386	1027
514.513	1019
514.641	1022
514.768	1026
514.896	1020
515.023	1026
515.151	1028
515.278	1024
515.405	1020
515.533	1018
515.66	1020
515.788	1022
515.915	1028
516.042	1022
516.17	1023
516.297	1018
516.425	1023
516.552	1015
516.679	1024
516.807	1023
516.934	1024
517.061	1020
517.189	1013
517.316	1017
517.443	1015
517.571	1010
517.698	1025
517.825	1026
517.953	1017
518.08	1014
518.207	1019
518.335	1020
518.462	1024
518.589	1021
518.716	1021
518.844	1020
518.971	1027
519.098	1021
519.226	1014
519.353	1020
519.48	1025
519.607	1022
519.734	1023
519.862	1026
519.989	1025
520.116	1023
520.243	1024
520.371	1027
520.498	1016
520.625	1023
520.752	1021
520.879	1026
521.006	1020
521.134	1024
521.261	1020
521.388	1022
521.515	1024
521.642	1023
521.769	1016
521.896	1024
522.024	1021
522.151	1024
522.278	1020
522.405	1024
522.532	1020
522.659	1026
522.786	1032
522.913	1024
523.04	1023
523.167	1021
523.295	1017
523.422	1024
523.549	1021
523.676	1025
523.803	1019
523.93	1024
524.057	1014
524.184	1028
524.311	1021
524.438	1017
524.565	1017
524.692	1027
524.819	1023
524.946	1022
525.073	1020
525.2	1023
525.327	1024
525.454	1026
525.581	1026
525.708	1028
525.835	1028
525.962	1023
526.088	1025
526.215	1023
526.342	1021
526.469	1025
526.596	1025
526.723	1027
526.85	1021
526.977	1021
527.104	1024
527.231	1018
527.358	1022
527.484	1026
527.611	1026
527.738	1024
527.865	1024
527.992	1020
528.119	1026
528.246	1026
528.372	1023
528.499	1026
528.626	1016
528.753	1027
528.88	1019
529.006	1019
529.133	1018
529.26	1016
529.387	1031
529.514	1021
529.64	1014
529.767	1029
529.894	1020
530.021	1030
530.147	1023
530.274	1021
530.401	1024
530.528	1024
530.654	1022
530.781	1024
530.908	1015
531.034	1026
531.161	1029
531.288	1029
531.414	1027
531.541	1024
531.668	1030
531.795	1026
531.921	1023
532.048	1026
532.174	1017
532.301	1028
532.428	1024
532.554	1018
532.681	1027
532.808	1014
532.934	1019
533.061	1024
533.187	1029
533.314	1013
533.441	1030
533.567	1028
533.694	1025
533.82	1019
533.947	1025
534.074	1024
534.2	1025
534.327	1026
534.453	1024
534.58	1022
534.706	1026
534.833	1030
534.959	1020
535.086	1025
535.212	1025
535.339	1024
535.465	1021
535.592	1024
535.718	1028
535.845	1028
535.971	1026
536.098	1022
536.224	1024
536.351	1021
536.477	1033
536.604	1019
536.73	1021
536.856	1027
536.983	1027
537.109	1024
537.236	1026
537.362	1024
537.488	1025
537.615	1016
537.741	1024
537.868	1028
537.994	1022
538.12	1024
538.247	1027
538.373	1019
538.499	1031
538.626	1020
538.752	1025
538.878	1021
539.005	1024
539.131	1024
539.257	1022
539.384	1019
539.51	1026
539.636	1026
539.763	1026
539.889	1019
540.015	1020
540.141	1026
540.268	1031
540.394	1022
540.52	1017
540.646	1024
540.773	1023
540.899	1022
541.025	1025
541.151	1022
541.278	1015
541.404	1023
541.53	1024
541.656	1020
