Wavelength	PL390-MAO-Cr-Mau5
nm	Counts
449.342	1017
449.472	1023
449.602	1021
449.732	1015
449.862	1020
449.992	1013
450.122	1020
450.252	1015
450.382	1019
450.512	1020
450.642	1015
450.772	1015
450.902	1017
451.032	1021
451.162	1014
451.292	1014
451.422	1019
451.552	1014
451.682	1012
451.812	1018
451.942	1012
452.071	1016
452.201	1016
452.331	1023
452.461	1018
452.591	1015
452.721	1016
452.851	1021
452.981	1011
453.111	1019
453.241	1018
453.371	1012
453.501	1019
453.63	1016
453.76	1018
453.89	1015
454.02	1012
454.15	1027
454.28	1020
454.41	1016
454.539	1022
454.669	1017
454.799	1009
454.929	1017
455.059	1026
455.189	1024
455.318	1019
455.448	1018
455.578	1026
455.708	1018
455.838	1019
455.968	1019
456.097	1021
456.227	1017
456.357	1018
456.487	1019
456.617	1014
456.746	1023
456.876	1016
457.006	1017
457.136	1025
457.265	1018
457.395	1015
457.525	1016
457.655	1024
457.784	1012
457.914	1021
458.044	1027
458.174	1018
458.303	1013
458.433	1016
458.563	1019
458.692	1017
458.822	1019
458.952	1013
459.081	1017
459.211	1024
459.341	1012
459.47	1015
459.6	1021
459.73	1022
459.86	1016
459.989	1025
460.119	1020
460.248	1014
460.378	1017
460.508	1015
460.637	1017
460.767	1018
460.897	1012
461.026	1023
461.156	1016
461.286	1021
461.415	1018
461.545	1021
461.674	1018
461.804	1022
461.933	1020
462.063	1025
462.193	1021
462.322	1018
462.452	1017
462.581	1021
462.711	1021
462.84	1020
462.97	1016
463.1	1022
463.229	1024
463.359	1024
463.488	1023
463.618	1016
463.747	1017
463.877	1029
464.006	1013
464.136	1014
464.265	1019
464.395	1016
464.524	1017
464.654	1013
464.783	1024
464.913	1024
465.042	1017
465.172	1017
465.301	1022
465.431	1016
465.56	1017
465.69	1015
465.819	1025
465.948	1011
466.078	1017
466.207	1023
466.337	1020
466.466	1022
466.596	1027
466.725	1016
466.854	1017
466.984	1031
467.113	1017
467.243	1016
467.372	1023
467.501	1020
467.631	1022
467.76	1011
467.889	1018
468.019	1022
468.148	1024
468.278	1018
468.407	1017
468.536	1015
468.666	1013
468.795	1021
468.924	1023
469.054	1016
469.183	1022
469.312	1020
469.442	1017
469.571	1018
469.7	1025
469.829	1021
469.959	1017
470.088	1024
470.217	1016
470.347	1027
470.476	1016
470.605	1016
470.734	1019
470.864	1020
470.993	1018
471.122	1022
471.251	1022
471.381	1022
471.51	1013
471.639	1021
471.768	1020
471.898	1019
472.027	1025
472.156	1021
472.285	1018
472.414	1022
472.544	1022
472.673	1024
472.802	1013
472.931	1013
473.06	1019
473.189	1024
473.319	1024
473.448	1022
473.577	1021
473.706	1016
473.835	1022
473.964	1021
474.094	1024
474.223	1014
474.352	1019
474.481	1021
474.61	1018
474.739	1018
474.868	1030
474.997	1028
475.126	1022
475.256	1016
475.385	1020
475.514	1015
475.643	1020
475.772	1019
475.901	1025
476.03	1029
476.159	1023
476.288	1018
476.417	1020
476.546	1031
476.675	1022
476.804	1033
476.933	1022
477.062	1019
477.191	1025
477.32	1021
477.449	1028
477.578	1018
477.707	1014
477.836	1030
477.965	1010
478.094	1025
478.223	1023
478.352	1028
478.481	1028
478.61	1022
478.739	1023
478.868	1023
478.997	1019
479.126	1025
479.255	1025
479.384	1021
479.513	1024
479.642	1021
479.771	1027
479.9	1021
480.028	1021
480.157	1024
480.286	1022
480.415	1028
480.544	1024
480.673	1024
480.802	1015
480.931	1024
481.06	1023
481.188	1025
481.317	1018
481.446	1019
481.575	1029
481.704	1024
481.833	1018
481.961	1019
482.09	1027
482.219	1027
482.348	1020
