Wavelength	PL390-MAO-Cr-Mau4
nm	Counts
449.342	1000
449.472	1006
449.602	1002
449.732	1005
449.862	1003
449.992	1001
450.122	1004
450.252	1009
450.382	1003
450.512	1005
450.642	1002
450.772	1009
450.902	1009
451.032	1007
451.162	1002
451.292	1005
451.422	1003
451.552	1007
451.682	1007
451.812	1007
451.942	1002
452.071	1005
452.201	1007
452.331	1007
452.461	1004
452.591	1011
452.721	1006
452.851	1002
452.981	1005
453.111	1004
453.241	1007
453.371	1006
453.501	1001
453.63	1003
453.76	1004
453.89	1009
454.02	1008
454.15	1005
454.28	1004
454.41	1007
454.539	1004
454.669	1002
454.799	1004
454.929	1010
455.059	1003
455.189	1008
455.318	1004
455.448	1006
455.578	1002
455.708	1004
455.838	999
455.968	1004
456.097	1008
456.227	1004
456.357	1005
456.487	1005
456.617	1005
456.746	1007
456.876	1004
457.006	1004
457.136	1011
457.265	1002
457.395	1008
457.525	1007
457.655	1001
457.784	1006
457.914	1006
458.044	1004
458.174	1007
458.303	1006
458.433	1007
458.563	1005
458.692	1005
458.822	1005
458.952	1008
459.081	1003
459.211	1004
459.341	1004
459.47	1005
459.6	1008
459.73	1004
459.86	1019
459.989	1008
460.119	1009
460.248	1010
460.378	1004
460.508	1004
460.637	1000
460.767	1004
460.897	1005
461.026	1000
461.156	1002
461.286	999
461.415	1003
461.545	1000
461.674	1003
461.804	1003
461.933	1002
462.063	1001
462.193	1006
462.322	1000
462.452	1003
462.581	1001
462.711	1004
462.84	1004
462.97	1005
463.1	1005
463.229	1002
463.359	1005
463.488	1006
463.618	1009
463.747	1006
463.877	1011
464.006	1010
464.136	1004
464.265	1002
464.395	1007
464.524	1007
464.654	1005
464.783	1013
464.913	1002
465.042	1003
465.172	1001
465.301	1009
465.431	1005
465.56	1006
465.69	1004
465.819	1008
465.948	1000
466.078	1004
466.207	1007
466.337	1007
466.466	1001
466.596	1009
466.725	1005
466.854	1006
466.984	1010
467.113	1002
467.243	1005
467.372	1003
467.501	1009
467.631	1003
467.76	1007
467.889	1008
468.019	1000
468.148	1002
468.278	1003
468.407	1003
468.536	1002
468.666	1009
468.795	1011
468.924	1007
469.054	1011
469.183	1004
469.312	1004
469.442	999
469.571	1004
469.7	999
469.829	1005
469.959	1009
470.088	1010
470.217	1001
470.347	1004
470.476	1004
470.605	1009
470.734	1001
470.864	1006
470.993	1007
471.122	1007
471.251	1007
471.381	1008
471.51	1001
471.639	1007
471.768	1005
471.898	1003
472.027	1001
472.156	1006
472.285	1006
472.414	1005
472.544	1004
472.673	1006
472.802	1000
472.931	1006
473.06	1002
473.189	1008
473.319	1005
473.448	1007
473.577	1006
473.706	1002
473.835	1007
473.964	1008
474.094	1005
474.223	1005
474.352	1005
474.481	1004
474.61	1004
474.739	1007
474.868	1009
474.997	1003
475.126	1011
475.256	1012
475.385	1005
475.514	1006
475.643	1004
475.772	1003
475.901	1004
476.03	1004
476.159	1006
476.288	1005
476.417	1008
476.546	1011
476.675	1006
476.804	1005
476.933	1003
477.062	1001
477.191	1007
477.32	1004
477.449	1002
477.578	1010
477.707	1008
477.836	1009
477.965	1009
478.094	1007
478.223	1004
478.352	1005
478.481	1000
478.61	1008
478.739	1008
478.868	1004
478.997	1006
479.126	1007
479.255	1005
479.384	1010
479.513	1003
479.642	1001
479.771	1007
479.9	1003
480.028	1003
480.157	1009
480.286	1006
480.415	1004
480.544	1006
