Wavelength	PL390-MAO-Cr-Mau2
nm	Counts
449.342	1016
449.472	1009
449.602	1021
449.732	1006
449.862	1019
449.992	1013
450.122	1010
450.252	1008
450.382	1012
450.512	1009
450.642	1015
450.772	1018
450.902	1019
451.032	1014
451.162	1015
451.292	1020
451.422	1018
451.552	1012
451.682	1012
451.812	1014
451.942	1016
452.071	1010
452.201	1009
452.331	1011
452.461	1023
452.591	1015
452.721	1014
452.851	1021
452.981	1015
453.111	1020
453.241	1018
453.371	1014
453.501	1014
453.63	1016
453.76	1012
453.89	1017
454.02	1019
454.15	1016
454.28	1018
454.41	1009
454.539	1011
454.669	1014
454.799	1016
454.929	1023
455.059	1012
455.189	1011
455.318	1017
455.448	1017
455.578	1008
455.708	1015
455.838	1012
455.968	1013
456.097	1024
456.227	1016
456.357	1021
456.487	1011
456.617	1013
456.746	1017
456.876	1016
457.006	1017
457.136	1012
457.265	1008
457.395	1015
457.525	1018
457.655	1016
457.784	1013
457.914	1015
458.044	1017
458.174	1014
458.303	1008
458.433	1013
458.563	1016
458.692	1018
458.822	1014
458.952	1019
459.081	1012
459.211	1011
459.341	1012
459.47	1016
459.6	1020
459.73	1025
459.86	1020
459.989	1019
460.119	1013
460.248	1017
460.378	1018
460.508	1010
460.637	1015
460.767	1019
460.897	1023
461.026	1015
461.156	1014
461.286	1021
461.415	1011
461.545	1015
461.674	1017
461.804	1019
461.933	1019
462.063	1012
462.193	1016
462.322	1019
462.452	1009
462.581	1021
462.711	1011
462.84	1014
462.97	1007
463.1	1017
463.229	1015
463.359	1017
463.488	1017
463.618	1027
463.747	1016
463.877	1016
464.006	1010
464.136	1015
464.265	1012
464.395	1017
464.524	1017
464.654	1020
464.783	1015
464.913	1017
465.042	1019
465.172	1018
465.301	1013
465.431	1011
465.56	1023
465.69	1017
465.819	1017
465.948	1014
466.078	1022
466.207	1017
466.337	1015
466.466	1015
466.596	1010
466.725	1014
466.854	1018
466.984	1015
467.113	1016
467.243	1016
467.372	1013
467.501	1013
467.631	1017
467.76	1018
467.889	1020
468.019	1017
468.148	1024
468.278	1013
468.407	1018
468.536	1012
468.666	1015
468.795	1016
468.924	1017
469.054	1017
469.183	1015
469.312	1024
469.442	1013
469.571	1018
469.7	1012
469.829	1012
469.959	1015
470.088	1015
470.217	1010
470.347	1023
470.476	1014
470.605	1015
470.734	1019
470.864	1013
470.993	1011
471.122	1019
471.251	1016
471.381	1013
471.51	1017
471.639	1010
471.768	1018
471.898	1019
472.027	1011
472.156	1022
472.285	1023
472.414	1020
472.544	1016
472.673	1022
472.802	1016
472.931	1016
473.06	1015
473.189	1015
473.319	1011
473.448	1013
473.577	1014
473.706	1014
473.835	1022
473.964	1022
474.094	1022
474.223	1019
474.352	1018
474.481	1014
474.61	1019
474.739	1017
474.868	1014
474.997	1017
475.126	1022
475.256	1016
475.385	1020
475.514	1012
475.643	1023
475.772	1024
475.901	1018
476.03	1019
476.159	1020
476.288	1017
476.417	1014
476.546	1023
476.675	1018
476.804	1021
476.933	1016
477.062	1020
477.191	1023
477.32	1017
477.449	1015
477.578	1014
477.707	1021
477.836	1015
477.965	1020
478.094	1012
478.223	1014
478.352	1014
478.481	1012
478.61	1021
478.739	1014
478.868	1017
478.997	1020
479.126	1018
479.255	1016
479.384	1024
479.513	1015
479.642	1023
479.771	1018
479.9	1014
480.028	1024
480.157	1016
480.286	1017
480.415	1013
480.544	1020
480.673	1012
480.802	1023
480.931	1017
481.06	1013
481.188	1020
481.317	1022
481.446	1018
481.575	1025
481.704	1015
481.833	1017
481.961	1017
482.09	1021
482.219	1017
482.348	1024
482.477	1018
482.606	1021
482.734	1018
482.863	1022
482.992	1025
483.121	1020
483.249	1019
483.378	1028
483.507	1023
483.636	1017
483.765	1024
483.893	1017
484.022	1016
484.151	1021
484.28	1013
484.408	1024
484.537	1022
484.666	1018
484.794	1018
484.923	1016
485.052	1018
485.181	1026
485.309	1020
485.438	1024
485.567	1018
485.695	1022
485.824	1022
485.953	1024
486.081	1021
486.21	1022
486.339	1020
486.467	1024
486.596	1022
486.725	1019
486.853	1013
486.982	1022
487.11	1018
487.239	1022
487.368	1017
487.496	1018
487.625	1024
487.754	1023
487.882	1021
488.011	1018
488.139	1024
488.268	1014
488.396	1023
488.525	1023
488.654	1027
488.782	1017
488.911	1018
489.039	1022
489.168	1019
489.296	1021
489.425	1020
489.553	1024
489.682	1029
489.81	1024
489.939	1021
490.067	1020
490.196	1022
490.324	1022
490.453	1024
490.581	1021
490.71	1021
490.838	1021
490.967	1028
491.095	1024
491.224	1024
491.352	1015
491.481	1016
491.609	1030
491.738	1023
491.866	1022
491.994	1025
492.123	1017
492.251	1019
492.38	1021
492.508	1022
492.636	1024
492.765	1021
492.893	1020
493.022	1026
493.15	1020
493.278	1024
493.407	1021
493.535	1017
493.663	1022
493.792	1019
493.92	1013
494.049	1021
494.177	1029
494.305	1027
494.434	1021
494.562	1026
494.69	1020
494.818	1022
494.947	1023
495.075	1017
495.203	1019
495.332	1022
495.46	1016
495.588	1036
495.716	1029
495.845	1020
495.973	1020
496.101	1029
496.23	1024
496.358	1023
496.486	1029
496.614	1017
496.742	1025
496.871	1029
496.999	1024
497.127	1021
497.255	1021
497.384	1023
497.512	1026
497.64	1027
497.768	1021
497.896	1025
498.024	1025
498.153	1021
498.281	1024
498.409	1025
498.537	1021
498.665	1033
498.793	1019
498.922	1017
499.05	1019
499.178	1030
499.306	1018
499.434	1028
499.562	1025
499.69	1025
499.818	1027
499.947	1029
500.075	1015
500.203	1022
500.331	1024
500.459	1025
500.587	1024
500.715	1023
500.843	1021
500.971	1028
501.099	1022
501.227	1026
501.355	1022
501.483	1028
501.611	1029
501.739	1017
501.867	1028
501.995	1022
502.123	1029
502.251	1030
502.379	1022
502.507	1024
502.635	1023
502.763	1031
502.891	1022
503.019	1025
503.147	1028
503.275	1023
503.403	1024
503.531	1019
503.659	1021
503.787	1023
503.915	1022
504.043	1022
504.171	1024
504.299	1028
504.426	1022
504.554	1029
504.682	1023
504.81	1026
504.938	1018
505.066	1026
505.194	1021
505.322	1024
505.449	1022
505.577	1021
505.705	1021
505.833	1028
505.961	1025
506.089	1030
506.217	1024
506.344	1024
506.472	1033
506.6	1017
506.728	1017
506.856	1027
506.983	1032
507.111	1024
507.239	1027
507.367	1022
