Wavelength	PL390-MAO-Cr-Mau1
nm	Counts
449.342	1029
449.472	1024
449.602	1023
449.732	1033
449.862	1038
449.992	1019
450.122	1024
450.252	1034
450.382	1031
450.512	1025
450.642	1027
450.772	1031
450.902	1032
451.032	1034
451.162	1027
451.292	1030
451.422	1033
451.552	1026
451.682	1025
451.812	1040
451.942	1034
452.071	1027
452.201	1018
452.331	1033
452.461	1035
452.591	1024
452.721	1034
452.851	1036
452.981	1033
453.111	1023
453.241	1028
453.371	1029
453.501	1026
453.63	1021
453.76	1025
453.89	1029
454.02	1030
454.15	1024
454.28	1029
454.41	1019
454.539	1031
454.669	1025
454.799	1032
454.929	1030
455.059	1032
455.189	1030
455.318	1026
455.448	1025
455.578	1029
455.708	1038
455.838	1035
455.968	1035
456.097	1032
456.227	1030
456.357	1034
456.487	1030
456.617	1027
456.746	1023
456.876	1033
457.006	1030
457.136	1027
457.265	1026
457.395	1026
457.525	1035
457.655	1023
457.784	1031
457.914	1036
458.044	1031
458.174	1028
458.303	1025
458.433	1030
458.563	1033
458.692	1028
458.822	1032
458.952	1038
459.081	1030
459.211	1020
459.341	1024
459.47	1030
459.6	1033
459.73	1029
459.86	1035
459.989	1035
460.119	1031
460.248	1029
460.378	1030
460.508	1035
460.637	1024
460.767	1025
460.897	1029
461.026	1025
461.156	1031
461.286	1030
461.415	1040
461.545	1034
461.674	1030
461.804	1031
461.933	1029
462.063	1027
462.193	1032
462.322	1031
462.452	1024
462.581	1032
462.711	1033
462.84	1035
462.97	1034
463.1	1028
463.229	1036
463.359	1028
463.488	1030
463.618	1032
463.747	1023
463.877	1028
464.006	1026
464.136	1035
464.265	1035
464.395	1028
464.524	1029
464.654	1021
464.783	1030
464.913	1033
465.042	1032
465.172	1031
465.301	1035
465.431	1035
465.56	1034
465.69	1031
465.819	1027
465.948	1037
466.078	1029
466.207	1026
466.337	1028
466.466	1028
466.596	1036
466.725	1031
466.854	1031
466.984	1043
467.113	1028
467.243	1034
467.372	1031
467.501	1031
467.631	1031
467.76	1028
467.889	1032
468.019	1031
