Wavelength	PL390-MAO-Cr-Mau11
nm	Counts
449.342	1019
449.472	1021
449.602	1018
449.732	1023
449.862	1028
449.992	1029
450.122	1028
450.252	1022
450.382	1025
450.512	1021
450.642	1022
450.772	1025
450.902	1028
451.032	1036
451.162	1023
451.292	1025
451.422	1026
451.552	1027
451.682	1021
451.812	1030
451.942	1027
452.071	1023
452.201	1027
452.331	1022
452.461	1029
452.591	1032
452.721	1017
452.851	1030
452.981	1024
453.111	1022
453.241	1022
453.371	1019
453.501	1022
453.63	1023
453.76	1025
453.89	1032
454.02	1023
454.15	1024
454.28	1019
454.41	1028
454.539	1022
454.669	1024
454.799	1020
454.929	1023
455.059	1020
455.189	1028
455.318	1027
455.448	1020
455.578	1023
455.708	1022
455.838	1022
455.968	1017
456.097	1022
456.227	1026
456.357	1025
456.487	1023
456.617	1019
456.746	1028
456.876	1025
457.006	1023
457.136	1029
457.265	1022
457.395	1018
457.525	1026
457.655	1024
457.784	1024
457.914	1029
458.044	1024
458.174	1024
458.303	1028
458.433	1027
458.563	1026
458.692	1025
458.822	1026
458.952	1022
459.081	1031
459.211	1028
459.341	1024
459.47	1028
459.6	1026
459.73	1027
459.86	1024
459.989	1028
460.119	1024
460.248	1024
460.378	1022
460.508	1016
460.637	1023
460.767	1023
460.897	1022
461.026	1026
461.156	1028
461.286	1024
461.415	1023
461.545	1020
461.674	1019
461.804	1030
461.933	1025
462.063	1029
462.193	1028
462.322	1028
462.452	1021
462.581	1028
462.711	1024
462.84	1026
462.97	1022
463.1	1028
463.229	1028
463.359	1028
463.488	1027
463.618	1033
463.747	1021
463.877	1029
464.006	1027
464.136	1021
464.265	1013
464.395	1026
464.524	1026
464.654	1030
464.783	1020
464.913	1027
465.042	1025
465.172	1021
465.301	1034
465.431	1030
465.56	1026
465.69	1022
465.819	1026
465.948	1026
466.078	1025
466.207	1028
466.337	1020
466.466	1021
466.596	1024
466.725	1021
466.854	1028
466.984	1024
467.113	1029
467.243	1023
467.372	1020
467.501	1029
467.631	1030
467.76	1027
467.889	1022
468.019	1026
468.148	1028
468.278	1021
468.407	1023
468.536	1026
468.666	1025
468.795	1024
468.924	1020
469.054	1031
469.183	1024
469.312	1028
469.442	1033
469.571	1030
469.7	1027
469.829	1031
469.959	1028
470.088	1035
470.217	1035
470.347	1031
470.476	1027
470.605	1027
470.734	1029
470.864	1024
470.993	1032
471.122	1028
471.251	1036
471.381	1021
471.51	1028
471.639	1032
471.768	1030
471.898	1031
472.027	1036
472.156	1038
472.285	1033
472.414	1024
472.544	1034
472.673	1029
472.802	1030
472.931	1028
473.06	1028
473.189	1024
473.319	1031
473.448	1024
473.577	1029
473.706	1026
473.835	1026
473.964	1031
474.094	1028
474.223	1033
474.352	1022
474.481	1029
474.61	1032
474.739	1019
474.868	1023
474.997	1037
475.126	1029
475.256	1027
475.385	1024
475.514	1027
475.643	1030
475.772	1020
475.901	1024
476.03	1037
476.159	1024
476.288	1030
476.417	1027
476.546	1027
476.675	1025
476.804	1023
476.933	1036
477.062	1024
477.191	1033
477.32	1030
477.449	1032
477.578	1027
477.707	1032
477.836	1028
477.965	1026
478.094	1029
478.223	1032
478.352	1036
478.481	1030
478.61	1029
478.739	1020
478.868	1031
478.997	1032
479.126	1034
479.255	1028
479.384	1033
479.513	1032
479.642	1027
479.771	1023
479.9	1033
480.028	1026
480.157	1023
480.286	1029
480.415	1027
480.544	1027
480.673	1024
480.802	1036
480.931	1038
481.06	1028
481.188	1029
481.317	1033
481.446	1034
481.575	1015
481.704	1035
481.833	1023
481.961	1024
482.09	1028
482.219	1036
482.348	1032
482.477	1028
482.606	1028
482.734	1035
482.863	1028
482.992	1026
483.121	1036
483.249	1040
483.378	1039
483.507	1027
483.636	1030
483.765	1040
483.893	1018
484.022	1038
484.151	1030
484.28	1027
484.408	1028
484.537	1031
484.666	1032
484.794	1029
484.923	1024
485.052	1031
485.181	1030
485.309	1031
485.438	1031
485.567	1035
485.695	1035
485.824	1036
485.953	1032
486.081	1031
486.21	1040
486.339	1028
486.467	1034
486.596	1029
486.725	1030
486.853	1042
486.982	1036
487.11	1028
487.239	1031
487.368	1036
487.496	1031
487.625	1041
487.754	1037
487.882	1032
488.011	1036
488.139	1023
488.268	1033
488.396	1041
488.525	1035
488.654	1024
488.782	1032
488.911	1031
489.039	1036
489.168	1028
489.296	1027
489.425	1032
489.553	1035
489.682	1042
489.81	1035
489.939	1035
490.067	1036
490.196	1037
490.324	1034
490.453	1034
490.581	1037
490.71	1037
490.838	1028
490.967	1038
491.095	1033
491.224	1038
491.352	1024
491.481	1039
491.609	1044
491.738	1031
491.866	1034
491.994	1028
492.123	1032
492.251	1031
492.38	1024
492.508	1037
492.636	1041
492.765	1034
492.893	1033
493.022	1031
493.15	1037
493.278	1038
493.407	1039
493.535	1041
493.663	1043
493.792	1043
493.92	1035
494.049	1037
494.177	1030
494.305	1039
494.434	1027
494.562	1033
494.69	1037
494.818	1032
494.947	1030
495.075	1033
495.203	1034
495.332	1025
495.46	1035
495.588	1039
495.716	1032
495.845	1040
495.973	1036
496.101	1035
496.23	1037
496.358	1038
496.486	1037
496.614	1037
496.742	1045
496.871	1039
496.999	1035
497.127	1039
497.255	1028
497.384	1035
497.512	1032
497.64	1045
497.768	1035
497.896	1032
498.024	1034
498.153	1037
498.281	1036
498.409	1036
498.537	1029
498.665	1035
498.793	1035
498.922	1028
499.05	1036
499.178	1031
499.306	1043
499.434	1032
499.562	1044
499.69	1034
499.818	1034
499.947	1037
500.075	1037
500.203	1034
500.331	1037
500.459	1050
500.587	1041
500.715	1037
500.843	1036
500.971	1031
501.099	1040
501.227	1030
501.355	1033
501.483	1027
501.611	1045
501.739	1033
501.867	1036
501.995	1043
502.123	1030
502.251	1033
502.379	1038
502.507	1043
502.635	1036
502.763	1051
502.891	1040
503.019	1039
503.147	1033
503.275	1042
503.403	1028
503.531	1043
503.659	1038
503.787	1042
503.915	1030
504.043	1046
504.171	1031
504.299	1039
504.426	1035
504.554	1033
504.682	1034
504.81	1032
504.938	1034
505.066	1037
505.194	1040
505.322	1034
505.449	1042
505.577	1040
505.705	1040
505.833	1044
505.961	1030
506.089	1038
506.217	1041
506.344	1033
506.472	1036
506.6	1035
