Wavelength	PL390-MAO-Cr-Mau9
nm	Counts
449.342	1017
449.472	1023
449.602	1018
449.732	1019
449.862	1016
449.992	1017
450.122	1016
450.252	1022
450.382	1017
450.512	1018
450.642	1014
450.772	1020
450.902	1011
451.032	1028
451.162	1016
451.292	1019
451.422	1014
451.552	1011
451.682	1015
451.812	1018
451.942	1019
452.071	1022
452.201	1017
452.331	1018
452.461	1024
452.591	1019
452.721	1018
452.851	1019
452.981	1024
453.111	1017
453.241	1020
453.371	1014
453.501	1018
453.63	1022
453.76	1016
453.89	1016
454.02	1019
454.15	1010
454.28	1013
454.41	1015
454.539	1029
454.669	1021
454.799	1018
454.929	1016
455.059	1016
455.189	1016
455.318	1015
455.448	1020
455.578	1021
455.708	1017
455.838	1017
455.968	1020
456.097	1027
456.227	1022
456.357	1019
456.487	1017
456.617	1019
456.746	1015
456.876	1022
457.006	1020
457.136	1012
457.265	1020
457.395	1020
457.525	1022
457.655	1015
457.784	1015
457.914	1020
458.044	1020
458.174	1019
458.303	1017
458.433	1017
458.563	1022
458.692	1016
458.822	1025
458.952	1013
459.081	1030
459.211	1016
459.341	1015
459.47	1022
459.6	1024
459.73	1026
459.86	1025
459.989	1020
460.119	1014
460.248	1018
460.378	1021
460.508	1024
460.637	1017
460.767	1014
460.897	1016
461.026	1021
461.156	1011
461.286	1015
461.415	1017
461.545	1015
461.674	1015
461.804	1021
461.933	1025
462.063	1022
462.193	1015
462.322	1012
462.452	1020
462.581	1013
462.711	1017
462.84	1023
462.97	1016
463.1	1025
463.229	1023
463.359	1021
463.488	1022
463.618	1018
463.747	1018
463.877	1019
464.006	1023
464.136	1021
464.265	1018
464.395	1022
464.524	1017
464.654	1017
464.783	1018
464.913	1017
465.042	1020
465.172	1019
465.301	1024
465.431	1025
465.56	1019
465.69	1017
465.819	1020
465.948	1025
466.078	1015
466.207	1016
466.337	1014
466.466	1022
466.596	1022
466.725	1018
466.854	1022
466.984	1016
467.113	1022
467.243	1022
467.372	1025
467.501	1024
467.631	1017
467.76	1019
467.889	1025
468.019	1023
468.148	1018
468.278	1025
468.407	1021
468.536	1018
468.666	1017
468.795	1016
468.924	1024
469.054	1024
469.183	1016
469.312	1018
469.442	1019
469.571	1018
469.7	1021
469.829	1023
469.959	1024
470.088	1025
470.217	1015
470.347	1020
470.476	1022
470.605	1016
470.734	1023
470.864	1019
470.993	1020
471.122	1018
471.251	1017
471.381	1021
471.51	1017
471.639	1018
471.768	1025
471.898	1018
472.027	1027
472.156	1023
472.285	1015
472.414	1015
472.544	1023
472.673	1022
472.802	1020
472.931	1023
473.06	1028
473.189	1024
473.319	1025
473.448	1022
473.577	1022
473.706	1021
473.835	1023
473.964	1020
474.094	1023
474.223	1025
474.352	1023
474.481	1028
474.61	1024
474.739	1021
474.868	1024
474.997	1024
475.126	1027
475.256	1019
475.385	1021
475.514	1032
475.643	1022
475.772	1025
475.901	1019
476.03	1019
476.159	1022
476.288	1021
476.417	1022
476.546	1018
476.675	1020
476.804	1022
476.933	1025
477.062	1022
477.191	1027
477.32	1024
477.449	1024
477.578	1019
477.707	1015
477.836	1022
477.965	1025
478.094	1026
478.223	1024
478.352	1024
478.481	1022
478.61	1020
478.739	1022
478.868	1021
478.997	1030
479.126	1024
479.255	1030
479.384	1024
479.513	1025
479.642	1023
479.771	1019
479.9	1031
480.028	1023
480.157	1027
480.286	1029
480.415	1020
480.544	1031
480.673	1027
480.802	1018
480.931	1016
481.06	1020
481.188	1021
481.317	1019
481.446	1030
481.575	1025
481.704	1028
481.833	1017
481.961	1025
482.09	1016
482.219	1022
482.348	1024
